resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score,delta
R021,JOB021,R021_CF_COLLEGE,college,BITS Pilani,0.417617,0.419891,0.0022739999999999982
R021,JOB021,R021_CF_CITY,city,Ahmedabad,0.417617,0.416218,-0.001399000000000039
R021,JOB021,R021_CF_AGE,age,39,0.417617,0.417617,0.0
R021,JOB021,R021_CF_EXPERIENCE,experience,108,0.417617,0.417617,0.0
R022,JOB001,R022_CF_NAME,name,Arjun Sharma,0.484147,0.482012,-0.002134999999999998
R022,JOB001,R022_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.484147,0.484259,0.00011200000000000099
R022,JOB001,R022_CF_CITY,city,Kolkata,0.484147,0.48376,-0.0003869999999999707
R022,JOB001,R022_CF_DEGREE,degree,B.Tech,0.484147,0.484147,0.0
R022,JOB001,R022_CF_COURSE,course,Electrical Engineering,0.484147,0.394094,-0.090053
R022,JOB001,R022_CF_AGE,age,46,0.484147,0.484147,0.0
R022,JOB001,R022_CF_EXPERIENCE,experience,228,0.484147,0.484147,0.0
R023,JOB020,R023_CF_NAME,name,Neha Kapoor,0.555231,0.550188,-0.00504300000000002
R023,JOB020,R023_CF_COLLEGE,college,Indian Institute of Technology Guwahati,0.555231,0.546842,-0.00838899999999998
R023,JOB020,R023_CF_CITY,city,Delhi,0.555231,0.548703,-0.006527999999999978
R023,JOB020,R023_CF_DEGREE,degree,B.Sc,0.555231,0.485501,-0.06973000000000001
R023,JOB020,R023_CF_COURSE,course,Data Science,0.555231,0.480042,-0.075189
R023,JOB020,R023_CF_AGE,age,38,0.555231,0.554402,-0.0008290000000000797
R023,JOB020,R023_CF_EXPERIENCE,experience,84,0.555231,0.554698,-0.0005330000000000057
R024,JOB022,R024_CF_NAME,name,Neha Kapoor,0.488924,0.487518,-0.0014060000000000183
R024,JOB022,R024_CF_COLLEGE,college,Indian Institute of Technology Madras,0.488924,0.488203,-0.0007210000000000272
R024,JOB022,R024_CF_CITY,city,Mumbai,0.488924,0.488833,-9.100000000000774e-05
R024,JOB022,R024_CF_DEGREE,degree,BBA,0.488924,0.488924,0.0
R024,JOB022,R024_CF_COURSE,course,Science,0.488924,0.48699,-0.0019340000000000468
R024,JOB022,R024_CF_AGE,age,34,0.488924,0.488924,0.0
R024,JOB022,R024_CF_EXPERIENCE,experience,120,0.488924,0.488924,0.0
R025,JOB006,R025_CF_NAME,name,Vikram Reddy,0.515157,0.517544,0.002387000000000028
R025,JOB006,R025_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.515157,0.515378,0.00022100000000002673
R025,JOB006,R025_CF_CITY,city,Mumbai,0.515157,0.515342,0.00018499999999999073
R025,JOB006,R025_CF_COURSE,course,Economics,0.515157,0.440157,-0.07499999999999996
R025,JOB006,R025_CF_AGE,age,35,0.515157,0.515157,0.0
R025,JOB006,R025_CF_EXPERIENCE,experience,108,0.515157,0.515157,0.0
R026,JOB015,R026_CF_NAME,name,Divya Rao,0.421069,0.420106,-0.0009630000000000472
R026,JOB015,R026_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.421069,0.420682,-0.0003870000000000262
R026,JOB015,R026_CF_CITY,city,Pune,0.421069,0.420381,-0.0006880000000000219
R026,JOB015,R026_CF_AGE,age,39,0.421069,0.420508,-0.0005610000000000337
R026,JOB015,R026_CF_EXPERIENCE,experience,144,0.421069,0.420508,-0.0005610000000000337
R027,JOB005,R027_CF_NAME,name,Rohan Gupta,0.537404,0.538754,0.0013499999999999623
R027,JOB005,R027_CF_COLLEGE,college,NIT Tiruchirappalli,0.537404,0.536633,-0.0007709999999999662
R027,JOB005,R027_CF_CITY,city,Hyderabad,0.537404,0.536883,-0.0005209999999999937
R027,JOB005,R027_CF_DEGREE,degree,MBA,0.537404,0.557759,0.020355000000000012
R027,JOB005,R027_CF_COURSE,course,Finance,0.537404,0.539176,0.0017719999999999958
R027,JOB005,R027_CF_AGE,age,38,0.537404,0.538328,0.0009240000000000359
